Date, Open, High, Low, Close, Volume
4/1/2022,1081.15,1094.75,1066.64,1084.59,18087740
3/31/2022,1094.57,1103.14,1076.641,1077.6,16330920
3/30/2022,1091.17,1113.95,1084,1093.99,19955000
3/29/2022,1107.99,1114.77,1073.11,1099.57,24538270
3/28/2022,1065.1,1097.88,1053.6,1091.84,34168688
3/25/2022,1008,1021.8,997.3201,1010.64,20677180
3/24/2022,1009.73,1024.49,988.8,1013.92,22973631
3/23/2022,979.94,1040.7,976.4,999.11,40225379
3/22/2022,930,997.86,921.75,993.98,35289520
3/21/2022,914.98,942.85,907.09,921.16,27327221
3/18/2022,874.49,907.85,867.39,905.39,33471398
3/17/2022,830.99,875,825.7178,871.6,22194320
3/16/2022,809,842,802.2601,840.23,28009609
3/15/2022,775.27,805.57,756.57,801.89,22280381
3/14/2022,780.61,800.7,756.04,766.37,23717420
3/11/2022,840.197,843.802,793.77,795.35,22345721
3/10/2022,851.45,854.45,810.3601,838.3,19549551
3/9/2022,839.48,860.56,832.01,858.97,19727990
3/8/2022,795.53,849.99,782.17,824.4,26799699
3/7/2022,856.3,866.14,804.57,804.58,24164721
3/4/2022,849.1,855.65,825.1609,838.29,22393289
3/3/2022,878.77,886.439,832.6001,839.29,20541170
3/2/2022,872.13,886.48,844.2721,879.89,24881150
3/1/2022,869.68,889.88,853.78,864.37,24922289
2/28/2022,815.01,876.86,814.7075,870.43,33002289
2/25/2022,809.23,819.5,782.4005,809.87,25355920
2/24/2022,700.39,802.48,700,800.77,45107434
2/23/2022,830.43,835.2997,760.56,764.04,31752340
2/22/2022,834.13,856.7338,801.1001,821.53,27762730
2/18/2022,886,886.87,837.61,856.98,22833949
2/17/2022,913.26,918.4999,874.1,876.35,18392811
2/16/2022,914.05,926.4299,901.21,923.39,17098131
2/15/2022,900,923,893.3774,922.43,19216510
2/14/2022,861.57,898.8799,853.15,875.76,22585471
2/11/2022,909.63,915.96,850.7,860,26548619
2/10/2022,908.37,943.81,896.7,904.55,22042279
2/9/2022,935,946.2699,920,932,17419850
2/8/2022,905.53,926.2899,894.8,922,16909670
2/7/2022,923.79,947.77,902.7089,907.34,20331490
2/4/2022,897.22,936.5,881.17,923.32,24541820
2/3/2022,882,937,880.52,891.14,26285189
2/2/2022,928.18,931.5,889.41,905.66,22264350
2/1/2022,935.21,943.7,905,931.25,24379449
1/31/2022,872.71,937.99,862.05,936.72,34812031
1/28/2022,831.56,857.5,792.01,846.35,44929648
1/27/2022,933.36,935.39,829,829.1,49036520
1/26/2022,952.43,987.69,906,937.41,34955762
1/25/2022,914.2,951.26,903.21,918.4,28865301
1/24/2022,904.76,933.5131,851.47,930,50791711
1/21/2022,996.34,1004.55,940.5,943.9,34472008
1/20/2022,1009.73,1041.66,994,996.27,23496250
1/19/2022,1041.705,1054.67,995,995.65,25147500
1/18/2022,1026.605,1070.79,1016.06,1030.51,22329801
1/14/2022,1019.88,1052,1013.379,1049.61,24308141
1/13/2022,1109.065,1115.6,1026.539,1031.56,32403260
1/12/2022,1078.85,1114.84,1072.59,1106.22,27913010
1/11/2022,1053.67,1075.85,1038.82,1064.4,22021070
1/10/2022,1000,1059.1,980,1058.12,30604961
1/7/2022,1080.37,1080.93,1010,1026.96,28054920
1/6/2022,1077,1088,1020.5,1064.7,30112160
1/5/2022,1146.65,1170.34,1081.01,1088.12,26706600
1/4/2022,1189.55,1208,1123.05,1149.59,33416090
1/3/2022,1147.75,1201.07,1136.04,1199.78,34895352
12/31/2021,1073.444,1082,1054.59,1056.78,13577880
12/30/2021,1061.33,1095.55,1053.15,1070.34,15680310
12/29/2021,1098.64,1104,1064.14,1086.19,18718020
12/28/2021,1109.49,1119,1078.42,1088.47,20107971
12/27/2021,1073.67,1117,1070.715,1093.94,23715270
12/23/2021,1006.8,1072.977,997.56,1067,30904430
12/22/2021,965.66,1015.66,957.05,1008.87,31211359
12/21/2021,916.87,939.5,886.12,938.53,23839311
12/20/2021,910.7,921.6884,893.39,899.94,18826670
12/17/2021,914.77,960.6599,909.0401,932.57,33626754
12/16/2021,994.5,994.98,921.85,926.92,27590480
12/15/2021,953.21,978.7499,928.2501,975.99,25056410
12/14/2021,945,966.41,930,958.51,23602090
12/13/2021,1001.09,1005,951.42,966.41,26198500
12/10/2021,1008.75,1020.98,982.53,1017.03,19888119
12/9/2021,1060.64,1062.49,1002.36,1003.8,19812830
12/8/2021,1052.71,1072.38,1033,1068.96,13968790
12/7/2021,1044.2,1057.674,1026.81,1051.75,18694859
12/6/2021,1001.51,1021.64,950.5,1009.01,27221039
12/3/2021,1084.79,1090.575,1000.21,1014.97,30774000
12/2/2021,1099.06,1113,1056.65,1084.6,24371619
12/1/2021,1160.695,1172.84,1090.76,1095,22934699
11/30/2021,1144.37,1168,1118,1144.76,27092039
11/29/2021,1100.99,1142.67,1100.19,1136.99,19464471
11/26/2021,1099.47,1108.783,1081,1081.92,11680890
11/24/2021,1080.39,1132.77,1062,1116,22560240
11/23/2021,1167.51,1180.5,1062.7,1109.03,36171699
11/22/2021,1162.33,1201.95,1132.43,1156.87,33072512
11/19/2021,1098.87,1138.72,1092.7,1137.06,21642260
11/18/2021,1106.55,1112,1075.02,1096.38,20898930
11/17/2021,1063.51,1119.64,1055.5,1089.01,31445369
11/16/2021,1003.31,1057.2,1002.18,1054.73,26542359
11/15/2021,1017.63,1031.98,978.6,1013.39,34775648
11/12/2021,1047.5,1054.5,1019.2,1033.42,25573150
11/11/2021,1102.77,1104.97,1054.68,1063.51,22396570
11/10/2021,1010.41,1078.1,987.31,1067.95,42802719
11/9/2021,1173.6,1174.5,1011.52,1023.5,59105840
11/8/2021,1149.785,1197,1133,1162.94,33445719
11/5/2021,1228,1239.87,1208,1222.09,21628811
11/4/2021,1234.41,1243.49,1217,1229.91,25397410
11/3/2021,1177.33,1215.39,1152.62,1213.86,34628520
11/2/2021,1159.355,1208.59,1146,1172,42737801
11/1/2021,1145,1209.75,1118.66,1208.59,56048719
10/29/2021,1081.86,1115.21,1073.205,1114,29918420
10/28/2021,1068.305,1081,1054.2,1077.04,27213170
10/27/2021,1039.66,1070.88,1030.78,1037.86,38526461
10/26/2021,1024.69,1094.94,1001.44,1018.43,62414969
10/25/2021,950.53,1045.02,944.2,1024.86,62852102
10/22/2021,895.5,910,890.96,909.68,22880840
10/21/2021,856,900,855.5046,894,31481449
10/20/2021,865.35,869.49,857.38,865.8,14032050
10/19/2021,877.53,877.95,862.51,864.27,17381131
10/18/2021,851.79,875.26,851.47,870.11,24207240
10/15/2021,823.738,843.21,822.35,843.03,18924570
10/14/2021,815.49,820.25,813.3501,818.32,12247170
10/13/2021,810.47,815.41,805.78,811.08,14120080
10/12/2021,800.93,812.32,796.57,805.72,22020039
10/11/2021,787.65,801.24,785.5,791.94,14200320
10/8/2021,796.21,796.38,780.91,785.49,16738600
10/7/2021,785.46,805,783.38,793.61,19195779
10/6/2021,776.2,786.66,773.22,782.75,14632770
10/5/2021,784.796,797.31,774.2,780.59,18432631
10/4/2021,796.5,806.9699,776.12,781.53,30483340
10/1/2021,778.4,780.78,763.59,775.22,17031410
9/30/2021,781,789.1305,775,775.48,17955961
9/29/2021,779.8,793.5,770.68,781.31,20942881
9/28/2021,787.2,795.64,766.1801,777.56,25381420
9/27/2021,773.12,799,769.31,791.36,28070660
9/24/2021,745.89,774.8,744.56,774.39,21373020
9/23/2021,755,758.2,747.92,753.64,11947530
9/22/2021,743.5263,753.6699,739.12,751.94,15126270
9/21/2021,734.79,744.7399,730.44,739.38,16330720
9/20/2021,734.5577,742,718.6249,730.17,24757650
9/17/2021,757.15,761.04,750,759.49,28204180
9/16/2021,752.83,758.91,747.61,756.99,13923390
9/15/2021,745,756.86,738.36,755.83,15357690
9/14/2021,742.57,754.47,736.4,744.49,18524881
9/13/2021,740.214,744.78,708.85,743,22952480
9/10/2021,759.6,762.61,734.5201,736.27,15184170
9/9/2021,753.41,762.1,751.6301,754.86,14077730
9/8/2021,761.58,764.45,740.7733,753.87,18793039
9/7/2021,740,760.2,739.26,752.92,20039830
9/3/2021,732.249,734,724.2,733.57,15271050
9/2/2021,734.5,740.97,730.54,732.39,12796740
9/1/2021,734.08,741.99,731.2701,734.09,13204340
8/31/2021,733,740.39,726.44,735.72,20855439
8/30/2021,714.715,731,712.73,730.91,18604221
8/27/2021,705,715,702.1001,711.92,13833760
8/26/2021,708.31,715.4,697.6201,701.16,13214290
8/25/2021,707.03,716.97,704,711.2,12645560
8/24/2021,710.68,715.22,702.64,708.49,13083070
8/23/2021,685.442,712.1299,680.7505,706.3,20264859
8/20/2021,682.85,692.1299,673.7,680.26,14841870
8/19/2021,678.21,686.55,667.59,673.47,14313490
8/18/2021,669.748,695.77,669.35,688.99,20349381
8/17/2021,672.66,674.58,648.84,665.71,23721279
8/16/2021,705.07,709.5,676.4,686.17,23103301
8/13/2021,723.71,729.9,714.34,717.17,16731471
8/12/2021,706.34,722.8,699.4,722.25,17681689
8/11/2021,712.71,715.18,704.21,707.82,9800558
8/10/2021,713.99,716.59,701.88,709.99,13432310
8/9/2021,710.17,719.03,705.13,713.76,14715350
8/6/2021,711.9,716.33,697.63,699.1,15623050
8/5/2021,716,720.9499,711.41,714.63,12919640
8/4/2021,711,724.9,708.93,710.92,17002650
8/3/2021,719,722.65,701.01,709.74,21620250
8/2/2021,700,726.94,698.4,709.67,33615770
7/30/2021,671.758,697.53,669,687.2,29656410
7/29/2021,649.79,683.69,648.8,677.35,30394641
7/28/2021,646.995,654.9699,639.4001,646.98,16006600
7/27/2021,663.4,666.5,627.24,644.78,32813289
7/26/2021,650.97,668.1999,647.11,657.62,25336561
7/23/2021,646.36,648.8,637.3001,643.38,14604940
7/22/2021,656.4428,662.17,644.6001,649.26,15105730
7/21/2021,659.61,664.8599,650.2901,655.29,13953340
7/20/2021,651.99,662.3916,640.501,660.5,15487130
7/19/2021,629.89,647.1999,621.29,646.22,21297090
7/16/2021,654.68,656.6999,642.2,644.22,16370970
7/15/2021,658.39,666.14,637.88,650.6,20209570
7/14/2021,670.75,678.6099,652.84,653.38,21641189
7/13/2021,686.32,693.28,666.2958,668.54,20966090
7/12/2021,662.2,687.24,662.161,685.7,25927039
7/9/2021,653.185,658.91,644.69,656.95,18140551
7/8/2021,628.37,654.43,620.46,652.81,22773320
7/7/2021,664.27,665.7,638.32,644.65,18791961
7/6/2021,681.7115,684,651.4002,659.58,23284449
7/2/2021,678.98,700,673.26,678.9,27097369
7/1/2021,683.92,687.99,672.8,677.92,18634520
6/30/2021,679.77,692.81,678.14,679.7,18924859
6/29/2021,684.65,687.5099,675.89,680.76,17381311
6/28/2021,671.64,694.6999,670.32,688.72,21628160
6/25/2021,689.58,693.81,668.7,671.87,32496711
6/24/2021,674.99,697.62,667.61,679.82,45982391
6/23/2021,632,657.204,630.04,656.57,31099230
6/22/2021,618.25,628.5693,615.5,623.71,19158891
6/21/2021,624.48,631.39,608.88,620.83,24812740
6/18/2021,613.37,628.35,611.8,623.31,24560910
6/17/2021,601.888,621.47,601.34,616.6,22701350
6/16/2021,597.535,608.5,593.5,604.87,22144131
6/15/2021,616.69,616.79,598.23,599.36,17764150
6/14/2021,612.23,625.49,609.18,617.69,20423980
6/11/2021,610.23,612.56,601.52,609.89,16205300
6/10/2021,603.88,616.59,600.5,610.12,23919609
6/9/2021,602.17,611.79,597.6301,598.78,16584570
6/8/2021,623.01,623.09,595.5,603.59,26053410
6/7/2021,591.825,610,582.88,605.13,22543680
6/4/2021,579.71,600.61,577.2,599.05,24036900
6/3/2021,601.8,604.55,571.22,572.84,30111891
6/2/2021,620.13,623.36,599.14,605.12,23302779
6/1/2021,627.8,633.8,620.55,623.9,18084891
5/28/2021,628.5,635.59,622.38,625.22,22737039
5/27/2021,620.24,631.13,616.21,630.85,26370590
5/26/2021,607.56,626.17,601.5,619.13,28639311
5/25/2021,607.31,613.99,595.71,604.69,28005930
5/24/2021,581.6,614.48,573.65,606.44,34558090
5/21/2021,596.11,596.68,580,580.88,26030600
5/20/2021,575,588.85,571.07,586.78,30821119
5/19/2021,552.55,566.21,546.98,563.46,39578398
5/18/2021,568,596.25,563.38,577.87,36830566
5/17/2021,575.553,589.73,561.2,576.83,32247801
5/14/2021,583.41,592.87,570.46,589.74,33370859
5/13/2021,601.545,606.4599,559.65,571.69,44184922
5/12/2021,602.49,620.41,586.765,589.89,33823648
5/11/2021,599.24,627.0999,595.6,617.2,46503898
5/10/2021,664.9,665.05,627.6101,629.04,31392420
5/7/2021,665.8,690,660.22,672.37,23469170
5/6/2021,680.76,681.02,650,663.54,27784619
5/5/2021,681.06,685.2955,667.34,670.94,21901891
5/4/2021,678.94,683.4464,657.701,673.6,29739320
5/3/2021,703.8,706,680.5,684.9,27043141
4/30/2021,667.59,715.47,666.14,709.44,40758719
4/29/2021,699.51,702.25,668.5002,677,28845449
4/28/2021,696.41,708.5,693.6,694.4,22271051
4/27/2021,717.96,724,703.3501,704.74,29437000
4/26/2021,741,749.3,732.6053,738.2,31038500
4/23/2021,719.8,737.36,715.46,729.4,28413891
4/22/2021,741.5,753.77,718.04,719.69,35590262
4/21/2021,704.77,744.84,698,744.12,31215510
4/20/2021,717.42,737.25,710.685,718.99,35609039
4/19/2021,719.6,725.4,691.8001,714.63,39686230
4/16/2021,728.65,749.41,724.6,739.78,27979529
4/15/2021,743.1,743.69,721.31,738.85,27848900
4/14/2021,770.7,780.79,728.03,732.23,49017434
4/13/2021,712.7,763,710.66,762.32,44652809
4/12/2021,685.7,704.8,682.09,701.98,29135670
4/9/2021,677.77,680.97,669.43,677.02,21437090
4/8/2021,677.38,689.5499,671.645,683.8,23924330
4/7/2021,687,691.38,667.84,670.97,26309430
4/6/2021,690.3,696.55,681.37,691.62,28271840
4/5/2021,707.71,708.16,684.7,691.05,41842770
4/1/2021,688.37,692.4203,659.42,661.75,35298379
3/31/2021,646.62,672,641.11,667.93,33337289
3/30/2021,601.75,637.66,591.01,635.62,39432359
3/29/2021,615.64,616.48,596.02,611.29,28636990
3/26/2021,641.87,643.82,599.89,618.71,33852832
3/25/2021,613,645.5,609.5,640.39,39224848
3/24/2021,667.91,668.02,630.11,630.27,33795168
3/23/2021,675.77,677.8,657.51,662.16,30491869
3/22/2021,684.59,699.62,668.75,670,39512219
3/19/2021,646.6,657.23,624.6201,654.87,42893980
3/18/2021,684.29,689.23,652,653.16,33369020
3/17/2021,656.87,703.73,651.01,701.81,40372449
3/16/2021,703.35,707.92,671,676.88,32195670
3/15/2021,694.09,713.18,684.04,707.94,29423480
3/12/2021,670,694.88,666.1394,693.73,33583840
3/11/2021,699.4,702.5,677.18,699.6,36253887
3/10/2021,700.3,717.85,655.06,668.06,60605672
3/9/2021,608.18,678.09,595.21,673.58,67523328
3/8/2021,600.55,620.125,558.79,563,51786961
3/5/2021,626.06,627.8419,539.49,597.95,89396461
3/4/2021,655.8,873.94,600,621.44,65919531
3/3/2021,687.99,700.7,651.705,653.2,30207961
3/2/2021,718.28,721.11,685,686.44,23732160
3/1/2021,690.11,872,685.05,718.43,27136240
2/26/2021,700,706.7,659.51,675.5,41089168
2/25/2021,726.15,737.2066,670.58,682.22,39023859
2/24/2021,711.85,745,694.17,742.02,36766953
2/23/2021,662.13,713.6099,619,698.84,66606883
2/22/2021,762.64,768.5,710.2,714.5,37269719
2/19/2021,795,796.7899,777.37,781.3,18958260
2/18/2021,780.9,794.69,776.27,787.38,17957061
2/17/2021,779.09,799.84,762.01,798.15,26078900
2/16/2021,818,821,792.44,796.22,19802320
2/12/2021,801.26,817.33,785.3306,816.12,23768311
2/11/2021,812.44,829.8799,801.725,811.66,21622750
2/10/2021,843.635,844.82,800.02,804.82,36216090
2/9/2021,855.12,859.8,841.75,849.46,15157650
2/8/2021,869.67,877.77,854.75,863.42,20161721
2/5/2021,845,864.77,838.97,852.23,18566641
2/4/2021,855,856.5,833.42,849.99,15812660
2/3/2021,877.02,878.08,853.0646,854.69,18343510
2/2/2021,844.68,880.5,842.2006,872.79,24346211
2/1/2021,814.29,842,795.5601,839.81,25391391
1/29/2021,830,842.41,780.1,793.53,34990754
1/28/2021,820,848,801,835.43,26378051
1/27/2021,870.35,891.5,858.66,864.16,27333961
1/26/2021,891.38,895.9,871.6,883.09,23131600
1/25/2021,855,900.4,838.8201,880.8,41173398
1/22/2021,834.31,848,828.62,846.64,20066500
1/21/2021,855,855.7199,841.4201,844.99,20598131
1/20/2021,858.74,859.5,837.28,850.45,25665881
1/19/2021,837.8,850,833,844.55,25366980
1/15/2021,852,859.9,819.1,826.16,38777602
1/14/2021,843.39,863,838.75,845,31266330
1/13/2021,852.76,860.47,832,854.41,33312500
1/12/2021,831,868,827.34,849.44,46270719
1/11/2021,849.4,854.43,803.6222,811.19,59554152
1/8/2021,856,884.49,838.39,880.02,75055531
1/7/2021,777.63,816.99,775.2,816.04,51498953
1/6/2021,758.49,774,749.1,755.98,44699969
1/5/2021,723.66,740.84,719.2,735.11,32245170
1/4/2021,719.46,744.4899,717.1895,729.77,48638191
12/31/2020,699.99,718.72,691.12,705.67,49649930
12/30/2020,672,696.6,668.3603,694.78,42846020
12/29/2020,661,669.9,655,665.99,22910811
12/28/2020,674.51,681.4,660.8,663.69,32278561
12/24/2020,642.99,666.09,641,661.77,22865570
12/23/2020,632.2,651.4999,622.5701,645.98,33172969
12/22/2020,648,649.88,614.23,640.34,51861641
12/21/2020,666.24,668.5,646.07,649.86,58045262
12/18/2020,668.9,695,628.54,695,222126203
12/17/2020,628.19,658.82,619.5,655.9,56270141
12/16/2020,628.23,632.5,605,622.77,42095809
12/15/2020,643.28,646.9,623.8,633.25,45223559
12/14/2020,619,642.7499,610.2001,639.83,52040648
12/11/2020,615.01,624,596.8,609.99,46474969
12/10/2020,574.37,627.75,566.34,627.07,67083148
12/9/2020,653.69,654.32,588,604.48,71291195
12/8/2020,625.505,651.28,618.5,649.88,64265031
12/7/2020,604.9197,648.7856,603.05,641.76,56309711
12/4/2020,591.01,599.04,585.5,599.04,29401311
12/3/2020,590.02,598.97,582.43,593.38,42552000
12/2/2020,556.44,571.54,541.21,568.82,47775648
12/1/2020,597.59,597.85,572.05,584.76,40382832
11/30/2020,602.21,607.8,554.51,567.6,63003047
11/27/2020,581.16,598.78,578.45,585.76,37561078
11/25/2020,550.06,574,545.37,574,48930160
11/24/2020,540.4,559.99,526.2,555.38,53648488
11/23/2020,503.5,526,501.79,521.85,50260301
11/20/2020,497.99,502.5,489.06,489.61,32911922
11/19/2020,492,508.6112,487.57,499.27,62475352
11/18/2020,448.35,496,443.5001,486.64,78044016
11/17/2020,460.17,462,433.01,441.61,61188281
11/16/2020,408.93,412.45,404.0868,408.09,26838641
11/13/2020,410.85,412.5319,401.66,408.5,19830350
11/12/2020,415.05,423,409.52,411.76,19940500
11/11/2020,416.45,418.695,410.58,417.13,17357721
11/10/2020,420.09,420.09,396.0301,410.36,30284221
11/9/2020,439.5,452.5,421,421.26,34833031
11/6/2020,436.1,436.57,424.28,429.95,21706010
11/5/2020,428.3,440,424.0001,438.09,28414520
11/4/2020,430.62,435.4,417.1,420.98,32143061
11/3/2020,409.73,427.77,406.69,423.9,34351719
11/2/2020,394,406.9799,392.3,400.51,29021119
10/30/2020,406.8954,407.5915,379.11,388.04,42587641
10/29/2020,409.96,418.06,406.46,410.83,22655311
10/28/2020,416.48,418.6,406,406.02,25451410
10/27/2020,423.76,430.5,420.1,424.68,22686510
10/26/2020,411.63,425.76,410,420.28,28239160
10/23/2020,421.84,422.8859,407.3801,420.63,33716980
10/22/2020,441.92,445.23,424.51,425.79,39993191
10/21/2020,422.7,432.95,421.25,422.64,32370461
10/20/2020,431.75,431.75,419.0501,421.94,31656289
10/19/2020,446.24,447,428.87,430.83,36287840
10/16/2020,454.44,455.9499,438.85,439.67,32775879
10/15/2020,450.31,456.57,442.5,448.88,35672352
10/14/2020,449.78,465.9,447.35,461.3,48045391
10/13/2020,443.35,448.89,436.6,446.65,34463672
10/12/2020,442,448.74,438.58,442.3,38791129
10/9/2020,430.13,434.5899,426.4601,434,28925660
10/8/2020,438.44,439,425.3,425.92,40421121
10/7/2020,419.87,429.9,413.845,425.3,43127711
10/6/2020,423.79,428.7799,406.05,413.98,49146262
10/5/2020,423.35,433.64,419.33,425.68,44722793
10/2/2020,421.39,439.13,415,415.09,71430031
10/1/2020,440.76,448.88,434.42,448.16,50741449
9/30/2020,421.32,433.93,420.47,429.01,48145566
9/29/2020,416,428.5,411.6,419.07,50341398
9/28/2020,424.62,428.08,415.55,421.2,49719559
9/25/2020,393.47,408.7323,391.3,407.34,67208461
9/24/2020,363.8,399.5,351.3,387.79,96561055
9/23/2020,405.16,412.15,375.8801,380.36,95074180
9/22/2020,429.6,437.76,417.6001,424.23,79580797
9/21/2020,453.13,455.68,407.07,449.39,109476797
9/18/2020,447.94,451,428.8,442.15,86406812
9/17/2020,415.6,437.79,408.0001,423.43,76779156
9/16/2020,439.87,457.79,435.31,441.76,72546758
9/15/2020,436.56,461.94,430.7,449.76,97298234
9/14/2020,380.95,420,373.3,419.62,83020609
9/11/2020,381.94,382.5,360.5,372.72,60717461
9/10/2020,386.21,398.99,360.56,371.34,84930609
9/9/2020,356.6,369,341.51,366.28,79465766
9/8/2020,356,368.74,329.88,330.21,115465695
9/4/2020,402.81,428,372.0201,418.32,110321906
9/3/2020,407.23,431.8,402,407,87596086
9/2/2020,478.99,479.04,405.1206,447.37,96176125
9/1/2020,502.14,502.49,470.51,475.05,90119422
8/31/2020,444.61,500.14,440.11,498.32,118374398
8/28/2020,459.024,463.698,437.304,442.68,100405898.5
8/27/2020,436.092,459.12,428.5,447.75,118465193.2
8/26/2020,412,433.2,410.7258,430.634,71196893.93
8/25/2020,394.978,405.59,393.6,404.668,53294449.2
8/24/2020,425.255,425.8,385.504,402.84,100318093.5
8/21/2020,408.952,419.098,405.01,409.996,107447803.4
8/20/2020,372.136,404.398,371.412,400.366,103059003.5
8/19/2020,373,382.2,368.242,375.706,61026649.08
8/18/2020,379.798,384.78,369.022,377.418,82372448.76
8/17/2020,335.4,369.172,334.566,367.128,101211598.5
8/14/2020,332.998,333.76,325.328,330.142,62888049.06
8/13/2020,322.2,330.236,313.452,324.2,102126553.5
8/12/2020,294,317,287,310.952,109494148.4
8/11/2020,279.2,284,273,274.878,43129169.35
8/10/2020,289.6,291.5,277.168,283.714,37611319.44
8/7/2020,299.9074,299.95,283.002,290.542,44482099.33
8/6/2020,298.166,303.462,295.452,297.916,29961564.55
8/5/2020,298.598,299.9676,293.662,297.004,24890074.63
8/4/2020,299.002,305.482,292.4,297.4,42074949.37
8/3/2020,289.84,301.962,288.877,297,44046729.34
7/31/2020,303,303.41,284.196,286.152,61234799.08
7/30/2020,297.6,302.648,294.2,297.498,38105199.43
7/29/2020,300.2,306.962,297.4,299.822,47134464.29
7/28/2020,300.8,312.94,294.884,295.298,79043493.81
7/27/2020,287,309.588,282.6,307.92,80243353.8
7/24/2020,283.202,293,273.308,283.4,96983093.55
7/23/2020,335.79,337.8,296.154,302.614,121642498.2
7/22/2020,319.8,325.284,312.4,318.466,70805398.94
