date,weekly_gas_price
11/28/1994,1.175
12/5/1994,1.143
12/12/1994,1.118
12/19/1994,1.099
12/26/1994,1.088
1/2/1995,1.104
1/9/1995,1.111
1/16/1995,1.102
1/23/1995,1.11
1/30/1995,1.109
2/6/1995,1.103
2/13/1995,1.099
2/20/1995,1.093
2/27/1995,1.101
3/6/1995,1.103
3/13/1995,1.096
3/20/1995,1.095
3/27/1995,1.102
4/3/1995,1.116
4/10/1995,1.134
4/17/1995,1.149
4/24/1995,1.173
5/1/1995,1.181
5/8/1995,1.204
5/15/1995,1.213
5/22/1995,1.232
5/29/1995,1.234
6/5/1995,1.234
6/12/1995,1.23
6/19/1995,1.224
6/26/1995,1.217
7/3/1995,1.209
7/10/1995,1.2
7/17/1995,1.189
7/24/1995,1.179
7/31/1995,1.166
8/7/1995,1.164
8/14/1995,1.162
8/21/1995,1.163
8/28/1995,1.154
9/4/1995,1.151
9/11/1995,1.148
9/18/1995,1.147
9/25/1995,1.146
10/2/1995,1.14
10/9/1995,1.132
10/16/1995,1.121
10/23/1995,1.113
10/30/1995,1.102
11/6/1995,1.1
11/13/1995,1.099
11/20/1995,1.095
11/27/1995,1.096
12/4/1995,1.097
12/11/1995,1.097
12/18/1995,1.111
12/25/1995,1.114
1/1/1996,1.116
1/8/1996,1.125
1/15/1996,1.131
1/22/1996,1.124
1/29/1996,1.118
2/5/1996,1.115
2/12/1996,1.112
2/19/1996,1.118
2/26/1996,1.138
3/4/1996,1.155
3/11/1996,1.156
3/18/1996,1.167
3/25/1996,1.196
4/1/1996,1.21
4/8/1996,1.233
4/15/1996,1.272
4/22/1996,1.282
4/29/1996,1.296
5/6/1996,1.298
5/13/1996,1.301
5/20/1996,1.308
5/27/1996,1.299
6/3/1996,1.292
6/10/1996,1.286
6/17/1996,1.28
6/24/1996,1.268
7/1/1996,1.258
7/8/1996,1.256
7/15/1996,1.254
7/22/1996,1.254
7/29/1996,1.247
8/5/1996,1.239
8/12/1996,1.235
8/19/1996,1.238
8/26/1996,1.24
9/2/1996,1.232
9/9/1996,1.239
9/16/1996,1.241
9/23/1996,1.241
9/30/1996,1.237
10/7/1996,1.23
10/14/1996,1.241
10/21/1996,1.244
10/28/1996,1.256
11/4/1996,1.264
11/11/1996,1.268
11/18/1996,1.277
11/25/1996,1.284
12/2/1996,1.281
12/9/1996,1.28
12/16/1996,1.272
12/23/1996,1.267
12/30/1996,1.263
1/6/1997,1.26
1/13/1997,1.275
1/20/1997,1.275
1/27/1997,1.271
2/3/1997,1.27
2/10/1997,1.266
2/17/1997,1.26
2/24/1997,1.257
3/3/1997,1.248
3/10/1997,1.24
3/17/1997,1.231
3/24/1997,1.235
3/31/1997,1.231
4/7/1997,1.232
4/14/1997,1.227
4/21/1997,1.228
4/28/1997,1.224
5/5/1997,1.221
5/12/1997,1.221
5/19/1997,1.233
5/26/1997,1.241
6/2/1997,1.243
6/9/1997,1.236
6/16/1997,1.227
6/23/1997,1.217
6/30/1997,1.21
7/7/1997,1.208
7/14/1997,1.203
7/21/1997,1.209
7/28/1997,1.203
8/4/1997,1.222
8/11/1997,1.256
8/18/1997,1.255
8/25/1997,1.268
9/1/1997,1.267
9/8/1997,1.266
9/15/1997,1.258
9/22/1997,1.247
9/29/1997,1.233
10/6/1997,1.234
10/13/1997,1.227
10/20/1997,1.218
10/27/1997,1.208
11/3/1997,1.202
11/10/1997,1.204
11/17/1997,1.195
11/24/1997,1.19
12/1/1997,1.18
12/8/1997,1.168
12/15/1997,1.158
12/22/1997,1.148
12/29/1997,1.139
1/5/1998,1.13
1/12/1998,1.123
1/19/1998,1.112
1/26/1998,1.095
2/2/1998,1.092
2/9/1998,1.086
2/16/1998,1.072
2/23/1998,1.078
3/2/1998,1.065
3/9/1998,1.057
3/16/1998,1.047
3/23/1998,1.038
3/30/1998,1.066
4/6/1998,1.063
4/13/1998,1.058
4/20/1998,1.062
4/27/1998,1.073
5/4/1998,1.079
5/11/1998,1.092
5/18/1998,1.092
5/25/1998,1.09
6/1/1998,1.086
6/8/1998,1.097
6/15/1998,1.087
6/22/1998,1.079
6/29/1998,1.081
7/6/1998,1.08
7/13/1998,1.076
7/20/1998,1.082
7/27/1998,1.073
8/3/1998,1.061
8/10/1998,1.056
8/17/1998,1.049
8/24/1998,1.042
8/31/1998,1.037
9/7/1998,1.03
9/14/1998,1.026
9/21/1998,1.038
9/28/1998,1.037
10/5/1998,1.045
10/12/1998,1.05
10/19/1998,1.046
10/26/1998,1.04
11/2/1998,1.037
11/9/1998,1.034
11/16/1998,1.022
11/23/1998,1.012
11/30/1998,0.995
12/7/1998,0.974
12/14/1998,0.964
12/21/1998,0.962
12/28/1998,0.955
1/4/1999,0.953
1/11/1999,0.96
1/18/1999,0.961
1/25/1999,0.954
2/1/1999,0.948
2/8/1999,0.947
2/15/1999,0.939
2/22/1999,0.926
3/1/1999,0.932
3/8/1999,0.941
3/15/1999,0.997
3/22/1999,1.038
3/29/1999,1.093
4/5/1999,1.125
4/12/1999,1.144
4/19/1999,1.14
4/26/1999,1.137
5/3/1999,1.145
5/10/1999,1.149
5/17/1999,1.151
5/24/1999,1.14
5/31/1999,1.128
6/7/1999,1.132
6/14/1999,1.127
6/21/1999,1.144
6/28/1999,1.134
7/5/1999,1.149
7/12/1999,1.161
7/19/1999,1.187
7/26/1999,1.211
8/2/1999,1.211
8/9/1999,1.222
8/16/1999,1.251
8/23/1999,1.25
8/30/1999,1.253
9/6/1999,1.262
9/13/1999,1.274
9/20/1999,1.292
9/27/1999,1.288
10/4/1999,1.282
10/11/1999,1.275
10/18/1999,1.261
10/25/1999,1.265
11/1/1999,1.258
11/8/1999,1.262
11/15/1999,1.281
11/22/1999,1.298
11/29/1999,1.303
12/6/1999,1.301
12/13/1999,1.303
12/20/1999,1.298
12/27/1999,1.304
1/3/2000,1.301
1/10/2000,1.292
1/17/2000,1.308
1/24/2000,1.346
1/31/2000,1.346
2/7/2000,1.358
2/14/2000,1.389
2/21/2000,1.438
2/28/2000,1.45
3/6/2000,1.528
3/13/2000,1.55
3/20/2000,1.548
3/27/2000,1.524
4/3/2000,1.518
4/10/2000,1.487
4/17/2000,1.455
4/24/2000,1.445
5/1/2000,1.426
5/8/2000,1.467
5/15/2000,1.505
5/22/2000,1.533
5/29/2000,1.547
6/5/2000,1.571
6/12/2000,1.64
6/19/2000,1.695
6/26/2000,1.674
7/3/2000,1.642
7/10/2000,1.608
7/17/2000,1.561
7/24/2000,1.539
7/31/2000,1.489
8/7/2000,1.479
8/14/2000,1.46
8/21/2000,1.484
8/28/2000,1.495
9/4/2000,1.539
9/11/2000,1.571
9/18/2000,1.575
9/25/2000,1.562
10/2/2000,1.536
10/9/2000,1.511
10/16/2000,1.554
10/23/2000,1.568
10/30/2000,1.561
11/6/2000,1.54
11/13/2000,1.539
11/20/2000,1.525
11/27/2000,1.527
12/4/2000,1.503
12/11/2000,1.465
12/18/2000,1.436
12/25/2000,1.426
1/1/2001,1.416
1/8/2001,1.439
1/15/2001,1.497
1/22/2001,1.496
1/29/2001,1.486
2/5/2001,1.466
2/12/2001,1.499
2/19/2001,1.468
2/26/2001,1.45
3/5/2001,1.433
3/12/2001,1.426
3/19/2001,1.416
3/26/2001,1.418
4/2/2001,1.451
4/9/2001,1.509
4/16/2001,1.575
4/23/2001,1.625
4/30/2001,1.624
5/7/2001,1.695
5/14/2001,1.697
5/21/2001,1.673
5/28/2001,1.691
6/4/2001,1.665
6/11/2001,1.617
6/18/2001,1.566
6/25/2001,1.495
7/2/2001,1.427
7/9/2001,1.392
7/16/2001,1.372
7/23/2001,1.358
7/30/2001,1.358
8/6/2001,1.358
8/13/2001,1.385
8/20/2001,1.435
8/27/2001,1.51
9/3/2001,1.568
9/10/2001,1.543
9/17/2001,1.548
9/24/2001,1.495
10/1/2001,1.417
10/8/2001,1.347
10/15/2001,1.303
10/22/2001,1.26
10/29/2001,1.233
11/5/2001,1.209
11/12/2001,1.186
11/19/2001,1.178
11/26/2001,1.136
12/3/2001,1.122
12/10/2001,1.114
12/17/2001,1.082
12/24/2001,1.103
12/31/2001,1.135
1/7/2002,1.148
1/14/2002,1.139
1/21/2002,1.127
1/28/2002,1.12
2/4/2002,1.137
2/11/2002,1.125
2/18/2002,1.129
2/25/2002,1.126
3/4/2002,1.157
3/11/2002,1.232
3/18/2002,1.3
3/25/2002,1.346
4/1/2002,1.379
4/8/2002,1.422
4/15/2002,1.408
4/22/2002,1.407
4/29/2002,1.393
5/6/2002,1.396
5/13/2002,1.389
5/20/2002,1.4
5/27/2002,1.389
6/3/2002,1.393
6/10/2002,1.372
6/17/2002,1.375
6/24/2002,1.381
7/1/2002,1.396
7/8/2002,1.384
7/15/2002,1.399
7/22/2002,1.419
7/29/2002,1.414
8/5/2002,1.395
8/12/2002,1.395
8/19/2002,1.397
8/26/2002,1.404
9/2/2002,1.393
9/9/2002,1.395
9/16/2002,1.406
9/23/2002,1.396
9/30/2002,1.424
10/7/2002,1.456
10/14/2002,1.461
10/21/2002,1.482
10/28/2002,1.466
11/4/2002,1.466
11/11/2002,1.445
11/18/2002,1.41
11/25/2002,1.376
12/2/2002,1.358
12/9/2002,1.357
12/16/2002,1.363
12/23/2002,1.411
12/30/2002,1.457
1/6/2003,1.453
1/13/2003,1.463
1/20/2003,1.463
1/27/2003,1.478
2/3/2003,1.539
2/10/2003,1.623
2/17/2003,1.668
2/24/2003,1.656
3/3/2003,1.679
3/10/2003,1.701
3/17/2003,1.712
3/24/2003,1.665
3/31/2003,1.618
4/7/2003,1.597
4/14/2003,1.561
4/21/2003,1.544
4/28/2003,1.526
5/5/2003,1.482
5/12/2003,1.467
5/19/2003,1.482
5/26/2003,1.477
6/2/2003,1.466
6/9/2003,1.492
6/16/2003,1.517
6/23/2003,1.489
6/30/2003,1.481
7/7/2003,1.485
7/14/2003,1.528
7/21/2003,1.534
7/28/2003,1.527
8/4/2003,1.553
8/11/2003,1.587
8/18/2003,1.631
8/25/2003,1.73
9/1/2003,1.724
9/8/2003,1.69
9/15/2003,1.674
9/22/2003,1.618
9/29/2003,1.564
10/6/2003,1.551
10/13/2003,1.553
10/20/2003,1.564
10/27/2003,1.536
11/3/2003,1.532
11/10/2003,1.502
11/17/2003,1.498
11/24/2003,1.517
12/1/2003,1.493
12/8/2003,1.481
12/15/2003,1.473
12/22/2003,1.499
12/29/2003,1.495
1/5/2004,1.532
1/12/2004,1.585
1/19/2004,1.619
1/26/2004,1.644
2/2/2004,1.632
2/9/2004,1.649
2/16/2004,1.656
2/23/2004,1.68
3/1/2004,1.703
3/8/2004,1.729
3/15/2004,1.714
3/22/2004,1.737
3/29/2004,1.755
4/5/2004,1.776
4/12/2004,1.778
4/19/2004,1.81
4/26/2004,1.812
5/3/2004,1.848
5/10/2004,1.939
5/17/2004,2.015
5/24/2004,2.063
5/31/2004,2.041
6/7/2004,2.021
6/14/2004,1.966
6/21/2004,1.914
6/28/2004,1.9
7/5/2004,1.875
7/12/2004,1.907
7/19/2004,1.926
7/26/2004,1.901
8/2/2004,1.885
8/9/2004,1.878
8/16/2004,1.881
8/23/2004,1.892
8/30/2004,1.866
9/6/2004,1.854
9/13/2004,1.852
9/20/2004,1.878
9/27/2004,1.934
10/4/2004,1.941
10/11/2004,1.988
10/18/2004,2.024
10/25/2004,2.02
11/1/2004,2.026
11/8/2004,1.992
11/15/2004,1.96
11/22/2004,1.943
11/29/2004,1.945
12/6/2004,1.91
12/13/2004,1.842
12/20/2004,1.82
12/27/2004,1.798
1/3/2005,1.788
1/10/2005,1.813
1/17/2005,1.843
1/24/2005,1.88
1/31/2005,1.936
2/7/2005,1.93
2/14/2005,1.914
2/21/2005,1.919
2/28/2005,1.943
3/7/2005,2.018
3/14/2005,2.078
3/21/2005,2.134
3/28/2005,2.177
4/4/2005,2.236
4/11/2005,2.29
4/18/2005,2.239
4/25/2005,2.237
5/2/2005,2.231
5/9/2005,2.179
5/16/2005,2.156
5/23/2005,2.118
5/30/2005,2.092
6/6/2005,2.118
6/13/2005,2.139
6/20/2005,2.167
6/27/2005,2.224
7/4/2005,2.228
7/11/2005,2.331
7/18/2005,2.312
7/25/2005,2.276
8/1/2005,2.279
8/8/2005,2.363
8/15/2005,2.56
8/22/2005,2.622
8/29/2005,2.621
9/5/2005,3.083
9/12/2005,2.956
9/19/2005,2.776
9/26/2005,2.812
10/3/2005,2.968
10/10/2005,2.875
10/17/2005,2.741
10/24/2005,2.612
10/31/2005,2.485
11/7/2005,2.382
11/14/2005,2.302
11/21/2005,2.211
11/28/2005,2.166
12/5/2005,2.168
12/12/2005,2.217
12/19/2005,2.247
12/26/2005,2.23
1/2/2006,2.277
1/9/2006,2.363
1/16/2006,2.342
1/23/2006,2.359
1/30/2006,2.375
2/6/2006,2.354
2/13/2006,2.29
2/20/2006,2.249
2/27/2006,2.277
3/6/2006,2.36
3/13/2006,2.395
3/20/2006,2.537
3/27/2006,2.522
4/3/2006,2.609
4/10/2006,2.706
4/17/2006,2.807
4/24/2006,2.924
5/1/2006,2.91
5/8/2006,2.876
5/15/2006,2.911
5/22/2006,2.842
5/29/2006,2.824
6/5/2006,2.852
6/12/2006,2.874
6/19/2006,2.834
6/26/2006,2.837
7/3/2006,2.914
7/10/2006,2.949
7/17/2006,2.968
7/24/2006,2.992
7/31/2006,2.997
8/7/2006,3.045
8/14/2006,3
8/21/2006,2.919
8/28/2006,2.843
9/4/2006,2.725
9/11/2006,2.611
9/18/2006,2.489
9/25/2006,2.368
10/2/2006,2.309
10/9/2006,2.266
10/16/2006,2.239
10/23/2006,2.229
10/30/2006,2.247
11/6/2006,2.232
11/13/2006,2.259
11/20/2006,2.261
11/27/2006,2.264
12/4/2006,2.32
12/11/2006,2.311
12/18/2006,2.333
12/25/2006,2.346
1/1/2007,2.34
1/8/2007,2.304
1/15/2007,2.22
1/22/2007,2.155
1/29/2007,2.164
2/5/2007,2.194
2/12/2007,2.24
2/19/2007,2.292
2/26/2007,2.379
3/5/2007,2.504
3/12/2007,2.542
3/19/2007,2.554
3/26/2007,2.582
4/2/2007,2.678
4/9/2007,2.79
4/16/2007,2.866
4/23/2007,2.857
4/30/2007,2.966
5/7/2007,3.043
5/14/2007,3.106
5/21/2007,3.247
5/28/2007,3.233
6/4/2007,3.172
6/11/2007,3.083
6/18/2007,3.018
6/25/2007,2.995
7/2/2007,2.976
7/9/2007,3.01
7/16/2007,3.084
7/23/2007,2.98
7/30/2007,2.894
8/6/2007,2.861
8/13/2007,2.797
8/20/2007,2.825
8/27/2007,2.799
9/3/2007,2.857
9/10/2007,2.879
9/17/2007,2.836
9/24/2007,2.861
10/1/2007,2.832
10/8/2007,2.809
10/15/2007,2.793
10/22/2007,2.853
10/29/2007,2.905
11/5/2007,3.051
11/12/2007,3.146
11/19/2007,3.123
11/26/2007,3.118
12/3/2007,3.077
12/10/2007,3.007
12/17/2007,3.011
12/24/2007,2.991
12/31/2007,3.076
1/7/2008,3.135
1/14/2008,3.09
1/21/2008,3.041
1/28/2008,3.004
2/4/2008,3.014
2/11/2008,2.995
2/18/2008,3.082
2/25/2008,3.163
3/3/2008,3.185
3/10/2008,3.246
3/17/2008,3.303
3/24/2008,3.273
3/31/2008,3.306
4/7/2008,3.346
4/14/2008,3.397
4/21/2008,3.515
4/28/2008,3.615
5/5/2008,3.62
5/12/2008,3.741
5/19/2008,3.81
5/26/2008,3.96
6/2/2008,3.98
6/9/2008,4.027
6/16/2008,4.056
6/23/2008,4.051
6/30/2008,4.075
7/7/2008,4.099
7/14/2008,4.102
7/21/2008,4.054
7/28/2008,3.948
